Source File Name:	02_24_damp_polyuk2
Point Index:	3	[x = 0.0480193	y = 0.000492353	z = -1]
Signal:	FFT - Vib & Ref1 H1 Velocity / Force - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s / N ]	[ ° ]
0.3125	0.02586536	18.71969
0.625	0.03044274	156.1176
0.9375	0.04134732	4.489496
1.25	0.02007397	-166.9064
1.5625	0.03653652	-19.93929
1.875	0.0394276	-163.3717
2.1875	0.01706863	9.426682
2.5	0.03670935	172.5955
2.8125	0.03519182	36.29964
3.125	0.01479373	-176.8996
3.4375	0.0376116	14.25812
3.75	0.02886363	-125.4538
4.0625	0.01690409	19.4089
4.375	0.03746996	-148.5087
4.6875	0.02977419	73.13661
5	0.01897553	-157.7526
5.3125	0.04162337	54.53064
5.625	0.02376106	-91.75572
5.9375	0.02481041	44.78108
6.25	0.03674981	-109.0984
6.5625	0.0239018	101.6431
6.875	0.02231143	-128.2865
7.1875	0.03869756	93.31998
7.5	0.01506077	-51.05792
7.8125	0.02713474	77.05394
8.125	0.03136237	-56.9872
8.4375	0.01837872	137.2767
8.75	0.02164568	-70.11414
9.0625	0.03764398	142.1379
9.375	0.0185047	-2.54109
9.6875	0.03330864	127.621
10	0.03932799	-6.717207
10.3125	0.02339057	158.4754
10.625	0.03778766	-23.81114
10.9375	0.04037703	171.0294
11.25	0.02747816	1.889294
11.5625	0.04197425	157.7742
11.875	0.04277769	13.27127
12.1875	0.02569399	158.7996
12.5	0.04886562	3.632051
12.8125	0.02902721	-167.7009
13.125	0.03324959	-5.814595
13.4375	0.03728941	-177.9217
13.75	0.03113286	22.92807
14.0625	0.02641672	168.5555
14.375	0.04046553	19.23685
14.6875	0.01760844	-154.7723
15	0.03270888	4.208543
15.3125	0.03080018	-146.6995
15.625	0.01871361	26.92082
15.9375	0.03106645	-169.5234
16.25	0.03099404	47.7057
16.5625	0.01669121	-171.6169
16.875	0.03516898	29.22902
17.1875	0.0206364	-129.6675
17.5	0.02205644	18.85373
17.8125	0.03042317	-147.1908
18.125	0.01958483	61.73628
18.4375	0.02246705	-175.063
18.75	0.0307263	54.6258
19.0625	0.006775187	-142.1175
19.375	0.02426683	30.72157
19.6875	0.01800798	-110.5518
20	0.007877483	74.67509
20.3125	0.01660816	-145.5733
20.625	0.02355707	106.5803
20.9375	0.003128792	48.23952
21.25	0.02392909	85.33749
21.5625	0.0214448	-25.49411
21.875	0.01123803	125.1032
22.1875	0.022393	-55.38727
22.5	0.03159406	153.1445
22.8125	0.01206283	-17.34902
23.125	0.03953832	131.937
23.4375	0.03253094	2.123386
23.75	0.02522075	131.5231
24.0625	0.04022199	-20.99859
24.375	0.03224646	172.0053
24.6875	0.02411927	-24.65121
25	0.04670211	159.7243
25.3125	0.029861	22.37779
25.625	0.03451126	143.7329
25.9375	0.04558174	10.20776
26.25	0.02272873	-175.08
26.5625	0.03332851	-5.409722
26.875	0.04215084	-169.4726
27.1875	0.02391003	38.79079
27.5	0.03902669	167.4564
27.8125	0.04458251	41.22648
28.125	0.01698141	177.7627
28.4375	0.04156344	17.78535
28.75	0.03014528	-142.813
29.0625	0.01899134	26.87494
29.375	0.03772645	-172.5411
29.6875	0.03139257	65.50732
30	0.02122118	149.4808
30.3125	0.03812555	38.12533
30.625	0.005872238	-122.9393
30.9375	0.01848332	3.348931
31.25	0.02098471	-152.7078
31.5625	0.01093028	116.3542
31.875	0.02203982	141.0858
32.1875	0.02484893	79.40333
32.5	0.01736431	57.58236
32.8125	0.01483694	27.52606
33.125	0.01082238	-34.54355
33.4375	0.01060575	-165.775
33.75	0.007381204	164.2169
34.0625	0.02776535	135.4306
34.375	0.02043175	66.52835
34.6875	0.02316763	92.24187
35	0.02588302	4.87278
35.3125	0.006164182	145.799
35.625	0.01491976	-47.46837
35.9375	0.02940887	158.6009
36.25	0.008607145	66.39843
36.5625	0.03600494	123.2032
36.875	0.02898433	26.12579
37.1875	0.01778663	107.058
37.5	0.02991586	-12.96519
37.8125	0.02319994	175.0343
38.125	0.01161688	-9.252135
38.4375	0.04043341	154.0705
38.75	0.02848648	43.08522
39.0625	0.03075762	131.7946
39.375	0.042677	16.36618
39.6875	0.01918798	175.0008
40	0.03058911	-1.390563
40.3125	0.03957243	-179.9751
40.625	0.02427157	39.42757
40.9375	0.04042712	154.1814
41.25	0.04286866	37.40108
41.5625	0.02027315	147.4365
41.875	0.0391825	14.28754
42.1875	0.02292544	-167.219
42.5	0.01737949	21.60154
42.8125	0.03147975	169.1315
43.125	0.0260526	67.74683
43.4375	0.02106373	123.514
43.75	0.02977214	47.31344
44.0625	0.005527804	40.82625
44.375	0.01070335	33.90588
44.6875	0.005367674	-145.1811
45	0.0175873	132.9077
45.3125	0.01315899	104.5238
45.625	0.0273168	107.3008
45.9375	0.02277331	42.45674
46.25	0.0151611	90.42824
46.5625	0.01931709	2.389893
46.875	0.01481091	163.4392
47.1875	0.007302544	40.69793
47.5	0.02823948	145.7077
47.8125	0.02378214	63.72269
48.125	0.0226098	115.1217
48.4375	0.02981827	34.92451
48.75	0.006745023	143.5721
49.0625	0.01740626	21.32549
49.375	0.02074621	179.2872
49.6875	0.01869321	75.03468
50	0.02614678	145.4521
50.3125	0.03396215	59.30893
50.625	0.014735	118.4397
50.9375	0.03175444	30.22669
51.25	0.0127704	-173.157
51.5625	0.01642071	28.48883
51.875	0.03006694	166.7432
52.1875	0.02450378	63.67741
52.5	0.03194114	132.452
52.8125	0.03638091	38.16332
