Source File Name:	11_18_1_damped
Point Index:	1	[x = 0.12576	y = 0.165625	z = -1]
Signal:	FFT - Vib & Ref1 H1 Velocity / Force - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s / N ]	[ ° ]
0.625	0.0002599639	143.4194
1.25	0.0003314111	121.2029
1.875	0.0004552785	110.0042
2.5	0.0005870551	101.9233
3.125	0.0007151797	97.86133
3.75	0.0008411038	94.26163
4.375	0.0009679386	92.02838
5	0.00111262	90.27753
5.625	0.001247498	88.00376
6.25	0.001374282	86.18079
6.875	0.001500917	84.60463
7.5	0.001626305	82.60723
8.125	0.001759246	80.34428
8.75	0.001881432	78.56635
9.375	0.002001936	76.00435
10	0.002123098	74.4845
10.625	0.00220282	72.162
11.25	0.002303033	71.18678
11.875	0.002419004	68.11864
12.5	0.002499498	65.18871
13.125	0.002493512	62.68615
13.75	0.002401308	63.05494
14.375	0.002465129	64.95158
15	0.00258754	64.61761
15.625	0.002696649	64.08805
16.25	0.002801926	63.83655
16.875	0.002874497	63.41568
17.5	0.002966437	62.13118
18.125	0.003052928	61.28432
18.75	0.003122182	60.59636
19.375	0.003196533	59.58136
20	0.003275438	58.63418
20.625	0.003324424	57.73227
21.25	0.003381824	56.62984
21.875	0.003428702	55.83323
22.5	0.003491327	54.88158
23.125	0.003537779	53.99478
23.75	0.003577253	53.13805
24.375	0.003610824	52.37812
25	0.003650359	51.55471
25.625	0.00367136	50.77127
26.25	0.003692836	49.91065
26.875	0.003717692	49.1098
27.5	0.003722505	48.26307
28.125	0.003754036	47.59388
28.75	0.003758621	46.77247
29.375	0.003767716	46.0433
30	0.003762268	45.34143
30.625	0.00375488	44.6074
31.25	0.003746063	43.84966
31.875	0.003728423	43.44127
32.5	0.003702403	42.84804
33.125	0.003679906	42.27736
33.75	0.00366254	41.84049
34.375	0.00362952	41.43277
35	0.003609145	40.9913
35.625	0.003569257	40.60854
36.25	0.003522628	40.31474
36.875	0.003476813	40.07526
37.5	0.003429916	39.92623
38.125	0.003385653	39.831
38.75	0.003334896	39.72363
39.375	0.003280025	39.76479
40	0.003220634	39.91864
40.625	0.003157259	40.06219
41.25	0.003092488	40.5241
41.875	0.003033268	40.86728
42.5	0.002963712	41.30912
43.125	0.00290178	42.0828
43.75	0.002842997	42.95411
44.375	0.002778986	43.98559
45	0.002721022	45.05703
45.625	0.002662183	46.20744
46.25	0.002604663	47.68044
46.875	0.002547771	49.10108
47.5	0.002492655	50.78419
48.125	0.002444517	52.67892
48.75	0.002392724	54.63903
49.375	0.002349761	56.9892
50	0.002305276	59.57823
50.625	0.002273343	62.27777
51.25	0.002248253	65.32626
51.875	0.002227841	68.47777
52.5	0.002224518	72.07532
53.125	0.002236189	75.8077
53.75	0.002270941	79.58678
54.375	0.002322834	83.52081
55	0.002392162	87.23219
55.625	0.002488917	90.75232
56.25	0.002612548	93.98663
56.875	0.0027534	96.88668
57.5	0.002922761	99.37587
58.125	0.003110054	101.3881
58.75	0.003306584	102.9009
59.375	0.003525314	104.0114
60	0.003753449	104.7167
60.625	0.003982394	105.1118
61.25	0.004223786	105.236
61.875	0.004457567	104.9833
62.5	0.004694952	104.6887
63.125	0.004914539	103.9933
63.75	0.005149529	103.2215
64.375	0.005370241	102.2933
65	0.005572112	101.2728
65.625	0.00576728	100.0945
66.25	0.005955533	99.02168
66.875	0.006130625	97.83871
67.5	0.006283871	96.59034
68.125	0.006432417	95.39816
68.75	0.006555876	94.13126
69.375	0.006669233	92.87943
70	0.006761958	91.57372
70.625	0.006827794	90.35407
71.25	0.006876653	89.18434
71.875	0.006908535	88.05315
72.5	0.006909523	87.10945
73.125	0.006906188	86.32249
