Source File Name:	11_18_1_damped_2
Point Index:	1	[x = 0.12576	y = 0.165625	z = -1]
Signal:	FFT - Vib & Ref1 H1 Velocity / Force - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s / N ]	[ ° ]
0.625	0.0002195995	-178.4941
1.25	0.0001888415	-177.9286
1.875	0.0002198362	-174.9035
2.5	0.0002471694	-158.14
3.125	0.0002558178	-152.2032
3.75	0.0002262983	-148.6617
4.375	0.0002594775	-145.9455
5	0.000228743	-142.7418
5.625	0.0002921309	-144.1924
6.25	0.0003416215	-141.8596
6.875	0.0003673227	-131.6718
7.5	0.0003508235	-132.9944
8.125	0.0003762537	-134.6085
8.75	0.000438227	-132.1715
9.375	0.0004430006	-132.5662
10	0.0004774217	-134.0221
10.625	0.0005653265	-135.3318
11.25	0.0005851618	-130.7766
11.875	0.000581761	-140.9338
12.5	0.0006233557	-140.0169
13.125	0.000714915	-157.6797
13.75	0.0006095341	-153.6991
14.375	0.0004472107	-155.3634
15	0.0004728978	-148.7482
15.625	0.0004364318	-145.4664
16.25	0.0004757876	-139.4171
16.875	0.0005306764	-142.674
17.5	0.000558048	-142.1082
18.125	0.0005644914	-132.2248
18.75	0.0006278986	-129.6433
19.375	0.0005875073	-134.6488
20	0.0006343894	-134.0913
20.625	0.0006484748	-134.4362
21.25	0.0006643987	-134.168
21.875	0.0006985647	-135.8978
22.5	0.0007250063	-135.6431
23.125	0.000750699	-136.0216
23.75	0.0007779044	-136.2722
24.375	0.0007965352	-135.9715
25	0.0008134104	-136.0058
25.625	0.0008343041	-137.0377
26.25	0.0008584235	-137.5852
26.875	0.0008784704	-138.2876
27.5	0.0008980334	-139.479
28.125	0.0009234269	-140.1314
28.75	0.0009491298	-141.3636
29.375	0.0009703	-141.7987
30	0.0009970096	-142.3265
30.625	0.001010888	-142.4207
31.25	0.001028007	-143.1053
31.875	0.00104031	-143.8444
32.5	0.001063388	-144.9073
33.125	0.001081216	-146.1337
33.75	0.001104367	-146.9616
34.375	0.001127011	-147.3513
35	0.001150367	-148.3887
35.625	0.001170653	-149.1251
36.25	0.001198826	-150.0005
36.875	0.001215236	-150.584
37.5	0.001230371	-151.4875
38.125	0.001250793	-152.5503
38.75	0.001282414	-153.4533
39.375	0.001307591	-154.3929
40	0.001334573	-155.7819
