Source File Name:	11_18_1
Point Index:	1	[x = 0.0145802	y = 0.1218	z = -1]
Signal:	FFT - Vib & Ref1 H1 Velocity / Force - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s / N ]	[ ° ]
0.3125	3.573023e-5	17.51563
0.625	4.648636e-5	42.62583
0.9375	6.934713e-5	55.28061
1.25	7.888212e-5	76.06654
1.5625	0.0001088106	87.45478
1.875	0.000144165	88.99043
2.1875	0.0001769537	106.0806
2.5	0.0002330338	107.2279
2.8125	0.0002704464	107.4985
3.125	0.0003260492	114.9898
3.4375	0.0003824416	111.2514
3.75	0.0004276569	115.3872
4.0625	0.0005230117	111.776
4.375	0.0005541239	112.3446
4.6875	0.0006562553	112.8526
5	0.0007239387	110.6691
5.3125	0.0007935071	109.2037
5.625	0.0008798007	108.6672
5.9375	0.0009435457	108.6032
6.25	0.00104544	107.5247
6.5625	0.00109663	104.9412
6.875	0.0011725	103.0764
7.1875	0.001252433	102.2054
7.5	0.001338218	99.66891
7.8125	0.001442273	98.85847
8.125	0.00148435	97.59923
8.4375	0.001594337	96.27741
8.75	0.0016599	95.67656
9.0625	0.001737557	93.2996
9.375	0.001799707	91.81348
9.6875	0.001903867	90.50143
10	0.001924936	88.81673
10.3125	0.002020904	86.54557
10.625	0.002111749	84.44302
10.9375	0.002144543	82.135
11.25	0.002218039	81.75125
11.5625	0.002309688	80.73693
11.875	0.002324853	78.68436
12.1875	0.002292635	76.54433
12.5	0.002418447	76.62521
12.8125	0.002363626	72.77239
13.125	0.002402963	70.19117
13.4375	0.002342396	68.38791
13.75	0.002289661	67.27682
14.0625	0.002193107	69.67265
14.375	0.002236729	69.9744
14.6875	0.002191358	70.77568
15	0.002292983	72.39604
15.3125	0.00229264	72.32506
15.625	0.00233996	71.5289
15.9375	0.002381143	71.08735
16.25	0.00243615	71.73789
16.5625	0.002420264	72.53029
16.875	0.002467861	71.0113
17.1875	0.002518386	71.6473
17.5	0.002571081	70.65994
17.8125	0.002535087	70.33958
18.125	0.002625754	70.96362
18.4375	0.002638218	71.52734
18.75	0.002708133	70.76728
19.0625	0.002600756	71.63219
19.375	0.002690617	71.53217
19.6875	0.002684219	70.83084
20	0.002735461	71.2693
20.3125	0.002759747	71.41428
20.625	0.002779676	72.11072
20.9375	0.002826879	72.19117
21.25	0.002837354	72.86551
21.5625	0.002914553	73.80113
21.875	0.002932962	73.94765
22.1875	0.002937833	74.35677
22.5	0.002979717	74.51659
22.8125	0.003022093	75.21408
23.125	0.003100579	75.61082
23.4375	0.003173224	75.97897
23.75	0.003267952	76.85403
24.0625	0.003328398	77.08221
24.375	0.003388985	78.10293
24.6875	0.003501827	77.80772
25	0.003556011	77.79701
25.3125	0.003649342	78.01209
25.625	0.003721019	78.54059
25.9375	0.003871108	78.01292
26.25	0.003999824	77.5207
26.5625	0.004138069	77.9691
26.875	0.004222994	77.44003
27.1875	0.004376281	76.89908
27.5	0.004531106	76.76056
27.8125	0.004643594	76.25893
28.125	0.004774265	75.64822
28.4375	0.004897132	74.85247
28.75	0.005032087	73.36328
29.0625	0.005193406	72.12856
29.375	0.005339423	71.14988
29.6875	0.005531095	70.58733
30	0.005644941	69.12453
30.3125	0.005797055	67.7709
30.625	0.005928032	65.98877
30.9375	0.00603563	65.44108
31.25	0.006166368	63.39758
31.5625	0.006293007	61.61816
31.875	0.00637692	60.03903
32.1875	0.006488017	58.0517
32.5	0.006639965	56.28384
32.8125	0.006716333	54.16637
33.125	0.006804189	52.5745
33.4375	0.006880082	50.52706
33.75	0.006971737	48.71775
34.0625	0.007003434	46.64135
34.375	0.007030668	44.25899
34.6875	0.006985665	41.67854
35	0.007041837	39.46009
35.3125	0.007084648	37.14025
35.625	0.007028819	34.593
35.9375	0.007000986	32.4296
36.25	0.006993182	30.00671
36.5625	0.006862957	27.81392
36.875	0.006787916	24.79642
37.1875	0.006682794	22.64583
37.5	0.006506652	19.83813
37.8125	0.006342875	17.13794
38.125	0.006218494	15.14594
38.4375	0.005975279	12.13849
38.75	0.005822743	9.984282
39.0625	0.005623844	7.758467
39.375	0.005399501	5.337467
39.6875	0.005101977	3.309041
40	0.004858402	1.228001
40.3125	0.004578581	-0.8358613
40.625	0.004300138	-2.47736
40.9375	0.003994436	-4.093823
41.25	0.003711146	-4.918344
41.5625	0.003403476	-5.653291
41.875	0.003117227	-5.940395
42.1875	0.002844351	-4.878132
42.5	0.002591989	-4.135249
42.8125	0.002353722	-1.191408
43.125	0.002143662	1.909929
43.4375	0.001969706	6.903471
43.75	0.001846842	12.93816
44.0625	0.001798567	18.97512
44.375	0.001791938	24.84179
44.6875	0.001843899	29.81854
45	0.001907251	34.11001
45.3125	0.001997603	37.61418
45.625	0.002088331	39.76176
45.9375	0.002206102	40.81219
46.25	0.002255446	41.48859
46.5625	0.002330815	41.23333
