	Frequency [Hz]	Amplitude [in]	
1	0.1	8.5128e-004	
2	0.2	8.5128e-004	
3	0.3	8.5128e-004	
4	0.4	8.5128e-004	
5	0.5	8.5128e-004	
6	0.6	8.5128e-004	
7	0.7	8.5128e-004	
8	0.8	8.5128e-004	
9	0.9	8.5129e-004	
10	1.	8.5129e-004	
11	1.1	8.5129e-004	
12	1.2	8.5129e-004	
13	1.3	8.513e-004	
14	1.4	8.513e-004	
15	1.5	8.513e-004	
16	1.6	8.5131e-004	
17	1.7	8.5131e-004	
18	1.8	8.5131e-004	
19	1.9	8.5132e-004	
20	2.	8.5132e-004	
21	2.1	8.5133e-004	
22	2.2	8.5133e-004	
23	2.3	8.5134e-004	
24	2.4	8.5134e-004	
25	2.5	8.5135e-004	
26	2.6	8.5136e-004	
27	2.7	8.5136e-004	
28	2.8	8.5137e-004	
29	2.9	8.5137e-004	
30	3.	8.5138e-004	
31	3.1	8.5139e-004	
32	3.2	8.514e-004	
33	3.3	8.514e-004	
34	3.4	8.5141e-004	
35	3.5	8.5142e-004	
36	3.6	8.5143e-004	
37	3.7	8.5144e-004	
38	3.8	8.5144e-004	
39	3.9	8.5145e-004	
40	4.	8.5146e-004	
41	4.1	8.5147e-004	
42	4.2	8.5148e-004	
43	4.3	8.5149e-004	
44	4.4	8.515e-004	
45	4.5	8.5151e-004	
46	4.6	8.5152e-004	
47	4.7	8.5153e-004	
48	4.8	8.5155e-004	
49	4.9	8.5156e-004	
50	5.	8.5157e-004	
51	5.1	8.5158e-004	
52	5.2	8.5159e-004	
53	5.3	8.516e-004	
54	5.4	8.5162e-004	
55	5.5	8.5163e-004	
56	5.6	8.5164e-004	
57	5.7	8.5166e-004	
58	5.8	8.5167e-004	
59	5.9	8.5168e-004	
60	6.	8.517e-004	
61	6.1	8.5171e-004	
62	6.2	8.5173e-004	
63	6.3	8.5174e-004	
64	6.4	8.5175e-004	
65	6.5	8.5177e-004	
66	6.6	8.5178e-004	
67	6.7	8.518e-004	
68	6.8	8.5182e-004	
69	6.9	8.5183e-004	
70	7.	8.5185e-004	
71	7.1	8.5186e-004	
72	7.2	8.5188e-004	
73	7.3	8.519e-004	
74	7.4	8.5192e-004	
75	7.5	8.5193e-004	
76	7.6	8.5195e-004	
77	7.7	8.5197e-004	
78	7.8	8.5199e-004	
79	7.9	8.5201e-004	
80	8.	8.5202e-004	
81	8.1	8.5204e-004	
82	8.2	8.5206e-004	
83	8.3	8.5208e-004	
84	8.4	8.521e-004	
85	8.5	8.5212e-004	
86	8.6	8.5214e-004	
87	8.7	8.5216e-004	
88	8.8	8.5218e-004	
89	8.9	8.522e-004	
90	9.	8.5222e-004	
91	9.1	8.5224e-004	
92	9.2	8.5226e-004	
93	9.3	8.5229e-004	
94	9.4	8.5231e-004	
95	9.5	8.5233e-004	
96	9.6	8.5235e-004	
97	9.7	8.5238e-004	
98	9.8	8.524e-004	
99	9.9	8.5242e-004	
100	10.	8.5244e-004	
101	10.1	8.5247e-004	
102	10.2	8.5249e-004	
103	10.3	8.5252e-004	
104	10.4	8.5254e-004	
105	10.5	8.5256e-004	
106	10.6	8.5259e-004	
107	10.7	8.5261e-004	
108	10.8	8.5264e-004	
109	10.9	8.5266e-004	
110	11.	8.5269e-004	
111	11.1	8.5272e-004	
112	11.2	8.5274e-004	
113	11.3	8.5277e-004	
114	11.4	8.528e-004	
115	11.5	8.5282e-004	
116	11.6	8.5285e-004	
117	11.7	8.5288e-004	
118	11.8	8.529e-004	
119	11.9	8.5293e-004	
120	12.	8.5296e-004	
121	12.1	8.5299e-004	
122	12.2	8.5302e-004	
123	12.3	8.5305e-004	
124	12.4	8.5307e-004	
125	12.5	8.531e-004	
126	12.6	8.5313e-004	
127	12.7	8.5316e-004	
128	12.8	8.5319e-004	
129	12.9	8.5322e-004	
130	13.	8.5325e-004	
131	13.1	8.5328e-004	
132	13.2	8.5331e-004	
133	13.3	8.5335e-004	
134	13.4	8.5338e-004	
135	13.5	8.5341e-004	
136	13.6	8.5344e-004	
137	13.7	8.5347e-004	
138	13.8	8.535e-004	
139	13.9	8.5354e-004	
140	14.	8.5357e-004	
141	14.1	8.536e-004	
142	14.2	8.5364e-004	
143	14.3	8.5367e-004	
144	14.4	8.537e-004	
145	14.5	8.5374e-004	
146	14.6	8.5377e-004	
147	14.7	8.538e-004	
148	14.8	8.5384e-004	
149	14.9	8.5387e-004	
150	15.	8.5391e-004	
151	15.1	8.5394e-004	
152	15.2	8.5398e-004	
153	15.3	8.5402e-004	
154	15.4	8.5405e-004	
155	15.5	8.5409e-004	
156	15.6	8.5413e-004	
157	15.7	8.5416e-004	
158	15.8	8.542e-004	
159	15.9	8.5424e-004	
160	16.	8.5427e-004	
161	16.1	8.5431e-004	
162	16.2	8.5435e-004	
163	16.3	8.5439e-004	
164	16.4	8.5443e-004	
165	16.5	8.5446e-004	
166	16.6	8.545e-004	
167	16.7	8.5454e-004	
168	16.8	8.5458e-004	
169	16.9	8.5462e-004	
170	17.	8.5466e-004	
171	17.1	8.547e-004	
172	17.2	8.5474e-004	
173	17.3	8.5478e-004	
174	17.4	8.5482e-004	
