	Frequency [Hz]	Amplitude [in/s²]	
1	15.	7.4923	
2	30.	30.149	
3	45.	68.522	
4	60.	123.57	
5	75.	196.7	
6	90.	289.91	
7	105.	405.88	
8	120.	548.18	
9	135.	721.63	
10	150.	932.69	
11	165.	1190.2	
12	180.	1506.5	
13	195.	1899.1	
14	210.	2393.9	
15	225.	3030.6	
16	240.	3873.2	
17	255.	5031.6	
18	270.	6712.5	
19	285.	9354.1	
20	300.	14078	
21	315.	24869	
22	330.	73802	
23	345.	1.0318e+005	
24	360.	33323	
25	375.	20879	
26	390.	15696	
27	405.	12862	
28	420.	11079	
29	435.	9857.	
30	450.	8969.4	
31	465.	8297.3	
32	480.	7771.9	
33	495.	7351.1	
34	510.	7007.4	
35	525.	6722.1	
36	540.	6482.3	
37	555.	6278.3	
38	570.	6103.3	
39	585.	5952.	
40	600.	5820.3	
41	615.	5705.	
42	630.	5603.7	
43	645.	5514.2	
44	660.	5435.	
45	675.	5364.6	
46	690.	5302.1	
47	705.	5246.4	
48	720.	5196.9	
49	735.	5152.7	
50	750.	5113.5	
51	765.	5078.6	
52	780.	5047.7	
53	795.	5020.5	
54	810.	4996.6	
55	825.	4975.7	
56	840.	4957.7	
57	855.	4942.4	
58	870.	4929.5	
59	885.	4918.9	
60	900.	4910.5	
61	915.	4904.2	
62	930.	4899.9	
63	945.	4897.4	
64	960.	4896.7	
65	975.	4897.8	
66	990.	4900.6	
67	1005.	4905.	
68	1020.	4911.	
69	1035.	4918.5	
70	1050.	4927.7	
71	1065.	4938.3	
72	1080.	4950.5	
73	1095.	4964.2	
74	1110.	4979.4	
75	1125.	4996.1	
76	1140.	5014.4	
77	1155.	5034.2	
78	1170.	5055.6	
79	1185.	5078.6	
80	1200.	5103.3	
81	1215.	5129.6	
82	1230.	5157.6	
83	1245.	5187.5	
84	1260.	5219.1	
85	1275.	5252.7	
86	1290.	5288.2	
87	1305.	5325.8	
88	1320.	5365.6	
89	1335.	5407.5	
90	1350.	5451.9	
91	1365.	5498.6	
92	1380.	5548.	
93	1395.	5600.1	
94	1410.	5655.1	
95	1425.	5713.2	
96	1440.	5774.5	
97	1455.	5839.3	
98	1470.	5907.7	
99	1485.	5980.1	
100	1500.	6056.7	
